,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
14,KY,106.0,area_code_510,no,yes,9.0,88.5,100.0,15.05,324.8,109.0,27.61,79.9,86,3.6,8.2,4.0,2.21,3.0,no
15,MS,131.0,area_code_415,no,no,0.0,2019.3,95.0,22.37,1111.3,109.0,15.24,251.2,129,11.3,15.5,3.0,4.19,1.0,yes
16,NY,65.0,area_code_510,no,no,0.0,195.4,110.0,33.22,181.2,109.0,15.4,178.5,105,8.03,8.9,4.0,2.4,0.0,no
17,DC,108.0,area_code_408,no,yes,35.0,215.9,106.0,36.7,200.6,107.0,17.05,195.4,107,8.79,15.5,7.0,4.19,0.0,no
18,MA,97.0,area_code_408,no,no,-4.0,217.6,81.0,36.99,320.5,51.0,27.24,150.7,110,6.78,4.2,3.0,1.13,0.0,no
19,AR,33.0,area_code_415,yes,no,0.0,164.0,99.0,27.88,153.1,102.0,13.01,123.8,104,5.57,6.4,4.0,1.73,0.0,no
20,NC,122.0,area_code_415,no,no,0.0,180.0,88.0,30.6,145.0,77.0,12.33,233.7,120,10.52,11.5,6.0,3.11,2.0,no
21,AZ,127.0,area_code_415,no,yes,14.0,143.2,99.0,24.34,169.9,91.0,14.44,221.6,77,9.97,11.6,1.0,3.13,1.0,no
22,NV,89.0,area_code_415,no,no,0.0,134.9,59.0,22.93,,152.0,13.26,197.5,112,8.89,10.2,5.0,2.75,1.0,no
23,MT,131.0,area_code_415,no,yes,24.0,135.9,60.0,23.1,233.2,78.0,19.82,210.6,121,9.48,9.4,4.0,2.54,1.0,no
24,OR,134.0,area_code_415,no,yes,50.0,2138.3,130.0,35.5,1064.9,104.0,11.3,136.7,107,6.15,11.1,4.0,3.0,2.0,no
25,IN,130.0,area_code_408,no,yes,30.0,185.0,117.0,31.45,249.5,141.0,21.21,157.8,103,7.1,7.4,7.0,2.0,0.0,no
26,MT,54.0,area_code_408,no,no,0.0,134.3,73.0,22.83,155.5,100.0,13.22,102.1,68,4.59,14.7,4.0,3.97,3.0,no
27,FL,113.0,area_code_510,no,no,0.0,92.6,85.0,15.74,177.6,92.0,15.1,159.8,72,7.19,14.4,4.0,3.89,3.0,no
28,MD,73.0,area_code_510,no,no,0.0,254.7,80.0,43.3,90.2,79.0,7.67,153.4,60,6.9,10.6,8.0,2.86,0.0,no
29,TN,108.0,area_code_510,no,yes,34.0,162.1,83.0,27.56,171.8,117.0,14.6,259.8,76,11.69,9.6,3.0,2.59,4.0,yes
30,KY,64.0,area_code_415,yes,no,0.0,146.7,83.0,24.94,148.3,91.0,12.61,238.6,69,10.74,12.5,3.0,3.38,3.0,no
31,MA,,area_code_510,no,no,,,,,,,,,126,,,,,,yes
32,NY,,area_code_415,no,yes,,,,,,,,,100,,,,,,no
33,AZ,192.0,area_code_415,no,yes,36.0,156.2,77.0,26.55,215.5,126.0,18.32,279.1,83,12.56,9.9,6.0,2.67,2.0,no
34,KS,57.0,area_code_415,no,no,-2.0,158.1,117.0,26.88,115.2,149.0,9.79,182.4,92,8.21,11.8,7.0,3.19,0.0,no
35,NV,22.0,area_code_510,no,no,0.0,160.4,108.0,27.27,218.1,88.0,18.54,192.9,115,8.68,12.5,4.0,3.38,1.0,no
36,AL,70.0,area_code_415,no,no,0.0,2086.7,110.0,39.15,1009.9,87.0,6.62,247.1,105,11.12,13.2,4.0,3.56,1.0,no
37,SD,149.0,area_code_408,no,yes,28.0,2062.8,92.0,30.72,1119.8,64.0,15.96,265.5,53,11.95,12.6,3.0,3.4,3.0,no
38,CT,,area_code_408,no,no,0.0,198.6,111.0,33.76,213.9,115.0,18.18,171.2,105,7.7,10.6,6.0,2.86,2.0,no
39,WV,11.0,area_code_510,no,yes,38.0,209.8,130.0,35.67,196.6,84.0,16.71,233.0,79,10.49,7.0,7.0,1.89,1.0,no
40,MA,80.0,area_code_408,no,yes,36.0,190.3,115.0,32.35,256.6,78.0,21.81,214.9,145,9.67,3.8,4.0,1.03,1.0,no
41,AK,,area_code_510,yes,yes,,,,,,,,,98,,,,,,no
42,VA,112.0,area_code_408,no,yes,29.0,198.8,122.0,33.8,238.6,114.0,20.28,289.5,69,13.03,11.5,5.0,3.11,1.0,no
43,MD,140.0,area_code_415,yes,yes,27.0,188.9,124.0,32.11,160.9,102.0,13.68,197.7,100,8.9,11.5,5.0,3.11,4.0,no
44,WV,87.0,area_code_415,no,no,0.0,124.3,91.0,21.13,173.4,105.0,14.74,256.3,109,11.53,7.5,5.0,2.03,3.0,no
45,WA,184.0,area_code_408,no,no,0.0,151.7,93.0,25.79,178.5,77.0,15.17,229.1,111,10.31,13.1,8.0,3.54,2.0,no
46,NC,80.0,area_code_415,yes,no,0.0,189.1,122.0,32.15,223.2,92.0,18.97,269.0,116,12.11,13.9,3.0,3.75,2.0,yes
47,IN,58.0,area_code_415,no,yes,22.0,2169.1,127.0,38.1,1170.8,85.0,20.3,174.2,86,7.84,11.5,7.0,3.11,2.0,no
48,NY,60.0,area_code_510,no,yes,31.0,191.8,75.0,32.61,267.8,135.0,22.76,200.5,62,9.02,12.8,3.0,3.46,2.0,no
49,MT,25.0,area_code_415,no,no,-7.0,134.3,98.0,22.83,202.3,109.0,17.2,195.9,100,8.82,12.6,5.0,3.4,2.0,no
50,MO,107.0,area_code_415,no,yes,22.0,281.1,83.0,47.79,143.7,130.0,12.21,239.4,128,10.77,11.2,,3.02,1.0,no
51,NE,46.0,area_code_408,no,no,0.0,210.2,92.0,35.73,227.3,77.0,19.32,200.1,116,9.0,13.1,7.0,3.54,1.0,no
52,AK,52.0,area_code_510,no,no,0.0,148.3,83.0,25.21,181.6,79.0,15.44,155.6,104,7.0,8.3,6.0,2.24,3.0,no
53,MN,91.0,area_code_415,no,no,0.0,133.8,61.0,22.75,158.8,96.0,13.5,189.6,92,8.53,10.5,2.0,2.84,1.0,no
54,MT,113.0,area_code_415,no,no,0.0,215.9,93.0,36.7,240.1,85.0,20.41,156.7,123,7.05,4.9,5.0,1.32,3.0,no
55,TX,41.0,area_code_408,no,yes,-5.0,213.8,102.0,36.35,141.8,86.0,12.05,142.2,123,6.4,7.2,3.0,1.94,0.0,no
56,NM,132.0,area_code_408,no,no,0.0,169.9,107.0,28.88,209.4,121.0,17.8,206.1,79,9.27,11.5,2.0,3.11,1.0,no
57,SD,137.0,area_code_510,no,no,0.0,242.1,118.0,41.16,191.0,93.0,16.24,218.6,50,9.84,14.7,2.0,3.97,3.0,no
58,UT,110.0,area_code_415,no,no,-7.0,271.1,108.0,46.09,237.0,122.0,20.15,239.9,122,10.8,9.8,5.0,2.65,2.0,yes
59,SD,116.0,area_code_408,no,no,0.0,167.8,119.0,28.53,142.0,123.0,12.07,190.7,128,8.58,7.3,4.0,1.97,2.0,no
60,NM,111.0,area_code_415,no,no,0.0,132.6,125.0,22.54,221.1,67.0,18.79,127.9,101,5.76,12.7,2.0,3.43,4.0,yes
61,GA,160.0,area_code_415,no,no,0.0,174.3,105.0,29.63,171.3,107.0,14.56,220.8,131,9.94,8.3,2.0,2.24,0.0,no
62,MI,81.0,area_code_415,no,no,-3.0,153.5,99.0,26.1,197.6,102.0,16.8,198.5,86,8.93,6.3,2.0,1.7,2.0,no
63,WV,44.0,area_code_510,no,no,0.0,228.1,121.0,38.78,276.5,79.0,23.5,279.8,77,12.59,9.9,5.0,2.67,2.0,yes
64,UT,164.0,area_code_510,no,no,0.0,192.1,95.0,32.66,249.8,94.0,21.23,132.6,100,5.97,7.3,3.0,1.97,3.0,no
65,WV,115.0,area_code_510,yes,no,0.0,249.9,95.0,42.48,242.5,104.0,20.61,151.7,121,6.83,15.3,6.0,4.13,1.0,yes
66,LA,128.0,area_code_415,no,no,0.0,147.7,94.0,25.11,283.3,83.0,24.08,188.3,124,8.47,6.9,5.0,1.86,2.0,no
67,KS,43.0,area_code_415,no,no,0.0,27.0,117.0,4.59,160.9,97.0,13.68,279.5,96,12.58,10.7,3.0,2.89,3.0,no
68,WI,161.0,area_code_408,no,no,0.0,1953.8,84.0,26.3,1109.8,125.0,15.11,172.9,90,7.78,5.9,2.0,1.59,4.0,yes
69,OK,155.0,area_code_408,no,yes,30.0,61.6,103.0,10.47,255.1,110.0,21.68,225.9,96,10.17,12.4,5.0,3.35,1.0,no
70,NH,139.0,area_code_510,no,no,-8.0,221.3,140.0,37.62,157.8,89.0,13.41,192.5,89,8.66,11.3,6.0,3.05,1.0,no
71,LA,114.0,area_code_415,no,no,0.0,169.2,96.0,28.76,149.9,83.0,12.74,196.9,119,8.86,4.6,4.0,1.24,2.0,no
72,AL,132.0,area_code_408,no,no,0.0,222.4,85.0,37.81,165.4,76.0,14.06,208.4,97,9.38,11.2,4.0,3.02,0.0,no
73,ME,118.0,area_code_408,yes,yes,21.0,156.5,122.0,26.61,209.2,125.0,17.78,158.7,81,7.14,11.1,3.0,3.0,4.0,yes
74,NV,,area_code_415,no,no,,,,,,,,,98,,,,,,no
75,TX,133.0,area_code_408,no,no,0.0,221.1,133.0,37.59,160.2,140.0,13.62,161.8,84,7.28,8.4,3.0,2.27,4.0,no
76,GA,125.0,area_code_415,no,yes,39.0,236.1,107.0,40.14,289.2,110.0,24.58,175.4,107,7.89,9.1,4.0,2.46,2.0,no
77,NJ,138.0,area_code_510,no,no,0.0,220.2,89.0,37.43,88.3,125.0,7.51,195.3,79,8.79,12.9,5.0,3.48,0.0,no
78,AZ,,area_code_415,no,no,0.0,220.8,111.0,37.54,156.2,67.0,13.28,187.9,89,8.46,10.5,4.0,2.84,2.0,no
79,GA,135.0,area_code_415,no,yes,22.0,197.1,113.0,33.51,259.4,95.0,22.05,134.7,135,6.06,14.6,5.0,3.94,2.0,no
80,WI,,area_code_415,no,no,0.0,246.5,108.0,41.91,216.3,89.0,18.39,179.6,99,8.08,12.7,3.0,3.43,2.0,no
81,FL,,area_code_510,no,yes,,,,,,,,,102,,,,,,yes
82,DC,115.0,area_code_408,no,no,0.0,178.7,114.0,30.38,271.0,96.0,23.04,245.9,94,11.07,16.4,5.0,4.43,2.0,no
83,WI,105.0,area_code_408,no,no,0.0,147.7,103.0,25.11,222.7,78.0,18.93,163.5,102,7.36,12.8,3.0,3.46,2.0,no
84,OH,80.0,area_code_415,no,no,0.0,197.6,83.0,33.59,164.5,86.0,13.98,94.0,98,4.23,6.4,6.0,1.73,1.0,no
85,NM,105.0,area_code_408,no,no,0.0,146.4,81.0,24.89,225.1,80.0,19.13,230.1,117,10.35,8.5,2.0,2.3,1.0,no
86,TX,58.0,area_code_408,no,yes,20.0,194.5,110.0,33.07,213.7,89.0,18.16,236.6,92,10.65,9.5,2.0,2.57,1.0,no
87,VA,,area_code_510,yes,no,,,,,,,,,121,,,,,,no
88,WY,125.0,area_code_415,no,no,0.0,140.1,132.0,23.82,209.6,126.0,17.82,264.1,77,11.88,8.0,2.0,2.16,1.0,no
89,MN,37.0,area_code_415,no,yes,20.0,264.7,81.0,45.0,216.5,110.0,18.4,210.7,102,9.48,10.4,7.0,2.81,0.0,no
90,AZ,88.0,area_code_415,no,no,-5.0,172.8,81.0,29.38,193.4,90.0,16.44,89.6,107,4.03,12.8,5.0,3.46,2.0,no
91,AL,181.0,area_code_415,no,yes,27.0,190.3,93.0,32.35,249.0,127.0,21.17,215.7,82,9.71,10.6,4.0,2.86,1.0,no
92,GA,,area_code_415,no,yes,30.0,127.1,89.0,21.61,172.1,116.0,14.63,194.6,111,8.76,12.1,3.0,3.27,1.0,no
93,IN,122.0,area_code_408,no,no,0.0,170.5,94.0,28.99,173.7,109.0,14.76,248.6,75,11.19,11.3,2.0,3.05,1.0,no
94,MA,118.0,area_code_408,yes,no,0.0,160.0,123.0,27.2,175.4,96.0,14.91,184.8,99,8.32,9.9,3.0,2.67,2.0,no
95,NV,178.0,area_code_408,no,no,0.0,275.4,150.0,46.82,187.5,62.0,15.94,147.1,126,6.62,13.6,,3.67,1.0,no
96,ID,74.0,area_code_415,no,no,0.0,221.1,124.0,37.59,110.8,94.0,9.42,240.1,112,10.8,10.6,3.0,2.86,0.0,no
97,NV,86.0,area_code_510,no,no,-5.0,141.3,72.0,24.02,154.3,95.0,13.12,210.6,91,9.48,8.2,5.0,2.21,1.0,no
98,FL,,area_code_408,yes,no,0.0,116.2,86.0,19.75,229.7,127.0,19.52,204.2,109,9.19,10.1,3.0,2.73,3.0,no
99,WI,91.0,area_code_408,no,yes,44.0,216.6,101.0,36.82,173.1,98.0,14.71,242.1,95,10.89,9.1,3.0,2.46,1.0,no
100,DC,148.0,area_code_415,no,yes,11.0,2081.8,129.0,42.99,1216.3,88.0,24.17,262.8,99,11.83,12.3,1.0,3.32,1.0,no
101,WA,167.0,area_code_415,no,no,0.0,169.2,124.0,28.76,173.3,108.0,14.73,216.5,64,9.74,12.4,4.0,3.35,4.0,yes
102,OK,154.0,area_code_415,yes,no,0.0,145.9,69.0,24.8,208.2,141.0,17.7,180.9,106,8.14,14.4,10.0,3.89,0.0,yes
103,OR,,area_code_415,no,no,0.0,143.8,71.0,24.45,184.0,131.0,15.64,275.5,132,12.4,12.9,4.0,3.48,3.0,no
104,OK,121.0,area_code_408,no,yes,31.0,1976.8,63.0,40.31,1137.6,117.0,17.48,196.7,85,8.85,10.1,5.0,2.73,4.0,no
105,FL,90.0,area_code_415,no,yes,24.0,71.2,82.0,12.1,181.6,103.0,15.44,186.9,111,8.41,12.9,1.0,3.48,1.0,no
106,FL,103.0,area_code_415,no,no,0.0,158.7,90.0,26.98,198.4,117.0,16.86,181.1,76,8.15,10.5,4.0,2.84,1.0,no
107,VT,95.0,area_code_510,no,no,0.0,203.4,96.0,34.58,168.6,61.0,14.33,173.0,105,7.79,13.7,3.0,3.7,2.0,no
108,MI,133.0,area_code_408,no,no,0.0,277.3,138.0,47.14,228.4,117.0,19.41,117.3,103,5.28,12.8,4.0,3.46,2.0,yes
109,TN,105.0,area_code_408,no,no,0.0,206.2,84.0,35.05,256.4,138.0,21.79,117.1,91,5.27,9.0,3.0,2.43,1.0,no
110,NV,37.0,area_code_415,no,no,0.0,233.7,114.0,39.73,207.9,109.0,17.67,212.7,101,9.57,12.0,2.0,3.24,2.0,no
111,MA,132.0,area_code_408,no,yes,-3.0,201.9,93.0,34.32,156.3,75.0,13.29,131.3,92,5.91,13.7,5.0,3.7,0.0,no
112,OH,94.0,area_code_415,no,no,0.0,181.3,135.0,30.82,182.4,108.0,15.5,180.6,103,8.13,6.7,2.0,1.81,0.0,no
113,MD,98.0,area_code_415,no,no,0.0,2114.9,92.0,35.11,1108.2,152.0,14.98,232.8,115,10.48,12.4,5.0,3.35,5.0,no
114,HI,131.0,area_code_415,no,yes,30.0,174.0,118.0,29.58,205.3,81.0,17.45,218.2,90,9.82,6.7,3.0,1.81,1.0,no
115,NM,54.0,area_code_415,no,yes,24.0,92.3,88.0,15.69,193.1,98.0,16.41,99.3,119,4.47,11.6,3.0,3.13,2.0,no
116,WI,45.0,area_code_408,no,no,0.0,112.8,108.0,19.18,218.8,120.0,18.6,240.2,106,10.81,9.0,3.0,2.43,2.0,no
117,SD,,area_code_415,no,yes,,,,,,,,,85,,,,,,no
118,NM,113.0,area_code_510,no,no,0.0,150.1,120.0,25.52,200.1,85.0,17.01,266.7,105,12.0,11.0,3.0,2.97,2.0,no
119,AL,77.0,area_code_415,no,no,0.0,163.0,112.0,27.71,219.1,89.0,18.62,233.4,66,10.5,6.7,3.0,1.81,2.0,no
120,RI,176.0,area_code_415,no,no,0.0,2008.8,108.0,42.65,1103.4,100.0,14.57,148.6,85,6.69,9.6,6.0,2.59,2.0,no
121,CT,120.0,area_code_408,yes,no,0.0,2070.2,123.0,34.34,1116.3,78.0,15.67,176.0,89,7.92,7.4,2.0,2.0,2.0,yes
122,NY,142.0,area_code_415,no,no,0.0,145.4,93.0,24.72,209.1,98.0,17.77,214.0,96,9.63,10.9,1.0,2.94,1.0,no
123,KY,80.0,area_code_415,no,no,-3.0,220.0,114.0,37.4,207.7,76.0,17.65,168.4,137,7.58,12.1,3.0,3.27,2.0,no
124,FL,70.0,area_code_510,yes,no,0.0,226.7,98.0,38.54,228.1,115.0,19.39,73.2,93,3.29,17.6,4.0,4.75,2.0,yes
125,CA,95.0,area_code_415,no,no,0.0,2017.1,98.0,31.18,1213.3,95.0,23.91,105.2,113,4.73,8.2,8.0,2.21,1.0,no
126,SD,131.0,area_code_510,no,no,0.0,187.9,110.0,31.94,200.5,101.0,17.04,202.6,125,9.12,10.2,11.0,2.75,2.0,no
127,NY,171.0,area_code_415,no,no,-1.0,137.5,110.0,23.38,198.1,109.0,16.84,292.7,131,13.17,13.3,5.0,3.59,2.0,no
128,NE,63.0,area_code_415,no,no,0.0,211.2,80.0,35.9,,93.0,20.2,259.2,58,11.66,12.3,2.0,3.32,0.0,no
129,DC,76.0,area_code_415,no,no,0.0,224.4,121.0,38.15,147.9,97.0,12.57,183.8,74,8.27,6.7,2.0,1.81,2.0,no
130,TN,,area_code_415,no,no,,,,,,,,,57,,,,,,no
131,CO,108.0,area_code_415,no,no,0.0,215.6,78.0,36.65,195.3,119.0,16.6,194.4,65,8.75,3.6,5.0,0.97,1.0,no
132,WI,,area_code_408,no,no,0.0,200.6,106.0,34.1,152.5,127.0,12.96,199.4,128,8.97,7.7,2.0,2.08,3.0,no
133,VT,64.0,area_code_408,no,no,0.0,145.5,116.0,24.74,228.4,110.0,19.41,273.4,91,12.3,8.9,8.0,2.4,1.0,no
134,NJ,153.0,area_code_510,no,no,-3.0,122.5,145.0,20.83,273.3,103.0,23.23,197.8,71,8.9,8.0,3.0,2.16,2.0,no
135,WA,97.0,area_code_408,no,no,0.0,276.1,82.0,46.94,201.1,106.0,17.09,231.3,73,10.41,8.9,4.0,2.4,0.0,yes
136,MO,64.0,area_code_510,no,yes,48.0,94.4,104.0,16.05,136.2,101.0,11.58,147.4,89,6.63,4.5,4.0,1.22,0.0,no
137,WV,73.0,area_code_415,no,no,0.0,240.3,130.0,40.85,162.5,83.0,13.81,231.9,136,10.44,11.9,3.0,3.21,0.0,no
138,NM,25.0,area_code_415,no,no,0.0,119.3,87.0,20.28,211.5,101.0,17.98,268.9,86,12.1,10.5,4.0,2.84,3.0,no
139,CT,3.0,area_code_415,no,yes,36.0,118.1,117.0,20.08,221.5,125.0,18.83,103.9,89,4.68,11.9,6.0,3.21,2.0,no
140,ID,148.0,area_code_510,no,yes,14.0,2039.3,137.0,15.91,1125.8,72.0,16.47,144.9,84,6.52,17.5,5.0,4.73,1.0,no
141,OR,60.0,area_code_415,no,no,0.0,2012.2,109.0,35.33,1055.5,112.0,10.5,291.6,115,13.12,5.7,9.0,1.54,0.0,no
142,AL,,area_code_510,no,no,0.0,129.2,71.0,21.96,214.1,68.0,18.2,214.9,100,9.67,10.3,4.0,2.78,5.0,yes
143,TN,39.0,area_code_408,no,no,0.0,187.2,110.0,31.82,114.7,116.0,9.75,104.7,83,4.71,13.2,5.0,3.56,1.0,no
144,WV,113.0,area_code_510,no,no,0.0,72.5,88.0,12.33,204.0,112.0,17.34,117.9,118,5.31,6.6,3.0,1.78,1.0,no
145,OH,,area_code_510,no,no,0.0,278.0,76.0,47.26,176.7,74.0,15.02,219.5,126,9.88,8.3,4.0,2.24,0.0,yes
146,KS,110.0,area_code_510,no,no,0.0,208.0,69.0,35.36,95.1,94.0,8.08,178.5,129,8.03,8.0,11.0,2.16,1.0,no
147,LA,93.0,area_code_415,no,no,0.0,179.3,93.0,30.48,178.6,98.0,15.18,225.2,131,10.13,11.5,6.0,3.11,3.0,no
148,SD,97.0,area_code_415,no,no,0.0,168.6,87.0,28.66,259.2,105.0,22.03,279.8,123,12.59,7.3,,1.97,1.0,no
149,NJ,,area_code_415,no,yes,30.0,183.1,95.0,31.13,232.6,110.0,19.77,248.3,110,11.17,8.4,2.0,2.27,0.0,no
150,WA,157.0,area_code_415,no,no,0.0,152.7,105.0,25.96,257.5,80.0,21.89,198.1,93,8.91,9.4,4.0,2.54,1.0,no
151,MS,,area_code_415,yes,yes,23.0,245.5,54.0,41.74,292.7,83.0,24.88,184.0,90,8.28,10.8,7.0,2.92,1.0,no
152,OH,125.0,area_code_408,no,no,0.0,106.1,95.0,18.04,157.6,113.0,13.4,192.5,69,8.66,8.1,3.0,2.19,1.0,no
153,MN,68.0,area_code_510,no,no,0.0,226.7,94.0,38.54,168.4,129.0,14.31,188.7,117,8.49,10.2,1.0,2.75,0.0,no
154,MA,80.0,area_code_510,no,no,0.0,149.8,123.0,25.47,276.3,75.0,23.49,241.4,75,10.86,10.9,7.0,2.94,2.0,no
155,MD,86.0,area_code_408,no,no,0.0,2038.0,88.0,38.47,1155.0,107.0,18.96,255.6,92,11.5,13.0,3.0,3.51,4.0,no
156,AZ,99.0,area_code_415,no,no,0.0,2048.0,87.0,33.69,1139.3,76.0,17.62,190.9,113,8.59,8.7,3.0,2.35,4.0,no
157,NE,,area_code_415,no,no,0.0,169.4,102.0,28.8,184.9,144.0,15.72,234.3,89,10.54,2.0,7.0,0.54,1.0,no
158,OH,66.0,area_code_415,no,no,0.0,170.5,103.0,28.99,254.3,77.0,21.62,197.3,138,8.88,10.5,2.0,2.84,2.0,no
159,IL,138.0,area_code_510,yes,no,0.0,169.3,82.0,28.78,217.9,147.0,18.52,184.2,77,8.29,9.4,9.0,2.54,1.0,no
160,NJ,129.0,area_code_415,no,no,0.0,168.4,117.0,28.63,217.1,129.0,18.45,81.6,100,3.67,11.8,7.0,3.19,1.0,no
161,OR,,area_code_408,no,no,,,,,,,,,112,,,,,,yes
162,VT,121.0,area_code_415,yes,yes,44.0,254.1,127.0,43.2,180.2,108.0,15.32,196.2,129,8.83,8.7,4.0,2.35,3.0,no
163,NM,-80.0,area_code_510,no,no,0.0,206.3,97.0,35.07,154.9,98.0,13.17,263.6,82,11.86,12.4,12.0,3.35,0.0,no
164,NC,86.0,area_code_510,no,no,0.0,190.5,115.0,32.39,179.6,130.0,15.27,258.5,89,11.63,10.1,5.0,2.73,3.0,no
165,ND,148.0,area_code_415,yes,no,-2.0,218.7,111.0,37.18,155.6,133.0,13.23,277.4,62,12.48,8.2,5.0,2.21,1.0,no
166,NY,104.0,area_code_415,no,yes,26.0,189.1,112.0,32.15,178.2,97.0,15.15,199.3,104,8.97,11.1,4.0,3.0,1.0,no
167,UT,47.0,area_code_408,no,yes,-6.0,112.8,150.0,19.18,243.9,97.0,20.73,178.7,112,8.04,13.2,6.0,3.56,2.0,no
168,WY,145.0,area_code_408,no,no,0.0,229.6,82.0,39.03,138.1,103.0,11.74,250.8,109,11.29,3.3,3.0,0.89,1.0,no
169,IL,179.0,area_code_510,no,no,0.0,116.1,101.0,19.74,201.8,99.0,17.15,181.9,103,8.19,11.6,5.0,3.13,0.0,no
170,MS,66.0,area_code_408,no,yes,32.0,187.8,117.0,31.93,129.8,90.0,11.03,132.3,113,5.95,12.0,3.0,3.24,2.0,no
171,HI,87.0,area_code_408,no,yes,28.0,143.5,106.0,24.4,223.5,147.0,19.0,175.4,69,7.89,11.2,5.0,3.02,0.0,no
172,MA,128.0,area_code_415,no,no,0.0,195.6,99.0,33.25,267.8,120.0,22.76,164.9,76,7.42,16.0,2.0,4.32,0.0,no
173,WV,172.0,area_code_415,no,no,0.0,211.7,100.0,35.99,198.7,101.0,16.89,301.7,136,13.58,6.5,9.0,1.76,1.0,no
174,DE,106.0,area_code_415,no,no,0.0,2056.3,83.0,21.86,1066.0,114.0,11.39,210.6,113,9.48,11.4,2.0,3.08,0.0,no
175,TN,57.0,area_code_510,no,no,0.0,149.3,100.0,25.38,200.2,110.0,17.02,231.7,101,10.43,11.9,3.0,3.21,2.0,no
176,RI,127.0,area_code_510,no,no,0.0,2115.8,117.0,16.32,1109.0,68.0,15.05,162.2,127,7.3,9.7,4.0,2.62,3.0,no
177,CO,118.0,area_code_408,no,no,0.0,188.8,60.0,32.1,217.4,64.0,18.48,220.1,100,9.9,8.2,7.0,2.21,4.0,no
178,IA,40.0,area_code_510,no,no,0.0,169.7,115.0,28.85,141.4,123.0,12.02,253.0,115,11.39,10.5,3.0,2.84,4.0,yes
179,TX,1.0,area_code_415,no,no,-4.0,182.1,106.0,30.96,134.9,106.0,11.47,152.3,75,6.85,10.0,3.0,2.7,5.0,yes
180,CO,181.0,area_code_510,no,yes,40.0,105.2,61.0,17.88,341.3,79.0,29.01,165.7,97,7.46,6.3,3.0,1.7,2.0,no
181,WV,144.0,area_code_415,no,no,0.0,201.1,99.0,34.19,303.5,74.0,25.8,224.0,119,10.08,13.2,2.0,3.56,1.0,no
182,WI,-72.0,area_code_408,no,no,0.0,179.9,113.0,30.58,149.8,112.0,12.73,168.2,79,7.57,9.8,7.0,2.65,2.0,no
183,OH,134.0,area_code_415,no,no,0.0,7.8,86.0,1.33,171.4,100.0,14.57,186.5,80,8.39,12.9,2.0,3.48,2.0,no
184,CA,112.0,area_code_415,no,no,0.0,111.9,92.0,19.02,114.0,143.0,9.69,146.8,79,6.61,14.1,3.0,3.81,5.0,yes
185,WY,151.0,area_code_510,no,no,0.0,235.9,104.0,40.1,80.6,91.0,6.85,212.8,116,9.58,5.8,2.0,1.57,3.0,no
186,TN,,area_code_408,no,yes,,,,,,,,,114,,,,,,no
